code	name	placeName	Longitude	Latitude	num_accessible_stations_30m	num_accessible_stations_45m	num_accessible_stations_60m
9100BCSTN	Bicester North Rail Station	Bicester	-1.15038	51.90349	6	19	72
9100VALLEY	Valley Rail Station	Valley	-4.56339	53.2813	6	8	13
9100WALMER	Walmer Rail Station	Walmer	1.38289	51.20332	6	19	36
9100LGML	Langley Mill Rail Station	Langley Mill	-1.33124	53.01808	6	21	41
9100CROMFD	Cromford Rail Station	Cromford	-1.54916	53.11295	6	14	27
9100LLWRDA	Llanwrda Rail Station	Llanwrda	-3.8717	51.96259	6	11	17
9100BNRHYDN	Ben Rhydding Rail Station	Ben Rhydding	-1.79743	53.92573	6	27	49
9100DLWYDLN	Dolwyddelan Rail Station	Dolwyddelan	-3.88514	53.05203	6	9	13
9100RIBLHED	Ribblehead Rail Station	Chapel-le-Dale	-2.36085	54.20585	6	12	21
9100BROOME	Broome Rail Station	Broome	-2.88522	52.42278	6	12	16
9100AXMNSTR	Axminster Rail Station	Axminster	-3.00475	50.77926	6	12	24
9100BRNMONC	Burnham-on-Crouch Rail Station	Burnham-on-Crouch	0.81405	51.63366	6	13	24
9100BURES	Bures Rail Station	Bures	0.76916	51.97117	6	21	37
9100SLEGHTS	Sleights Rail Station	Sleights	-0.66248	54.46106	6	9	11
9100BRDGWTR	Bridgwater Rail Station	Bridgwater	-2.99043	51.12785	6	12	27
9100BAROW	Barrow-in-Furness Rail Station	Barrow-in-Furness	-3.22613	54.119	6	14	20
9100DORMANS	Dormans Rail Station	Dormans Park	-0.0043	51.15579	6	42	219
9100ROMANBG	Roman Bridge Rail Station	Dolwyddelan	-3.92165	53.04444	6	8	10
9100LAMPHEY	Lamphey Rail Station	Lamphey	-4.8733	51.6672	6	8	10
9100WRMNSTR	Warminster Rail Station	Warminster	-2.17675	51.20677	6	16	28
9100BRUTON	Bruton Rail Station	Bruton	-2.44708	51.11163	6	18	30
9100SWSHEAD	Swineshead Rail Station	Swineshead Bridge	-0.18716	52.96983	6	10	16
9100MAESTGW	Maesteg Rail Station	Maesteg	-3.65467	51.60994	6	10	18
9100MELTON	Melton (Suffolk) Rail Station	Melton	1.33826	52.10446	6	12	28
9100OXENHLM	Oxenholme Lake District Rail Station	Oxenholme	-2.72186	54.30494	6	13	33
9100STAUSTL	St Austell Rail Station	St Austell	-4.78941	50.33951	6	19	30
9100BRTHMBR	Barton-on-Humber Rail Station	Barton-upon-Humber	-0.44343	53.68893	6	10	15
9100PENYCHN	Penychain Rail Station	Pwllheli	-4.33874	52.9029	6	10	15
9100LMTNPIR	Lymington Pier Rail Station	Lymington	-1.52946	50.75829	6	22	37
9100CALSTCK	Calstock Rail Station	Calstock	-4.20903	50.49779	6	9	10
9100WHALLEY	Whalley Rail Station	Whalley	-2.41226	53.82403	6	18	41
9100HGHBRDG	Highbridge & Burnham-on-Sea Rail Station	Highbridge	-2.97217	51.21815	6	12	27
9100COOMBE	Coombe Junction Halt (Rail Station)	Lamellion	-4.48189	50.44591	6	11	17
9300MBK	Millbank Millennium Pier	Millbank	-0.12523	51.49212	6	8	13
9100GTMLVRN	Great Malvern Rail Station	Great Malvern	-2.31828	52.10921	6	15	30
9100BUXTON	Buxton Rail Station	Buxton	-1.91287	53.26074	6	12	26
9100HYKEHAM	Hykeham Rail Station	North Hykeham	-0.6002	53.19503	6	10	24
9100SHDN	Shildon Rail Station	Shildon	-1.63661	54.62617	6	10	25
9100ARRAM	Arram Rail Station	Arram	-0.42656	53.88435	6	10	19
9100KILGETY	Kilgetty Rail Station	Kilgetty	-4.71519	51.73211	6	11	18
9100MAYBOLE	Maybole Rail Station	Maybole	-4.68528	55.35473	6	10	23
9100RHOSNGR	Rhosneigr Rail Station	Rhosneigr	-4.50666	53.23486	6	9	13
9100LLGADOG	Llangadog Rail Station	Llangadog	-3.89317	51.94022	6	11	16
9100WHTCHRH	Whitchurch (Hants) Rail Station	Whitchurch	-1.33775	51.23754	6	20	63
9100TOTNES	Totnes Rail Station	Totnes	-3.68872	50.43585	6	15	26
9100ASPTRIA	Aspatria Rail Station	Aspatria	-3.33188	54.75896	6	11	20
9100PERTH	Perth Rail Station	Perth	-3.4397	56.39208	6	18	34
9100ARBROTH	Arbroath Rail Station	Arbroath	-2.58894	56.55957	6	12	17
9100OULTNBS	Oulton Broad South Rail Station	Oulton Broad	1.70768	52.46962	6	9	18
9100CMER	Cromer Rail Station	Cromer	1.29283	52.93011	6	8	11
9100WEYMTH	Weymouth Rail Station	Weymouth	-2.45423	50.6153	6	9	17
9100HEYFORD	Heyford Rail Station	Lower Heyford	-1.29927	51.9192	6	18	40
9100MATLCKB	Matlock Bath Rail Station	Matlock Bath	-1.55676	53.12237	6	9	24
9100CLPM	Clapham (N Yorks) Rail Station	Clapham	-2.41038	54.1054	6	11	24
9100BAROWOS	Barrow upon Soar Rail Station	Barrow-upon-Soar	-1.14485	52.74935	6	14	34
9100LANARK	Lanark Rail Station	Lanark	-3.77329	55.6736	6	25	80
9100WRENBRY	Wrenbury Rail Station	Wrenbury	-2.59594	53.01941	6	11	34
9100WYMNDHM	Wymondham Rail Station	Wymondham	1.11804	52.56544	6	21	31
9100LMTNTWN	Lymington Town Rail Station	Lymington	-1.53717	50.7609	6	23	37
9100HCKNGTN	Heckington Rail Station	Heckington	-0.29394	52.97734	6	12	19
9100UTOXETR	Uttoxeter Rail Station	Uttoxeter	-1.85726	52.89681	6	16	40
9100BEVERLY	Beverley Rail Station	Beverley	-0.42297	53.84229	6	12	23
9100RSKNGTN	Ruskington Rail Station	Ruskington	-0.38076	53.04148	6	11	19
9100LAYTON	Layton (Lancs) Rail Station	Layton	-3.03	53.83528	6	22	55
9100MPRT	Maryport Rail Station	Maryport	-3.49407	54.71132	6	12	19
9100BKNELL	Bucknell Rail Station	Bucknell	-2.94739	52.35739	6	11	15
9100DINGWAL	Dingwall Rail Station	Dingwall	-4.4222	57.59422	6	9	9
9100SBRN	Saltburn Rail Station	Saltburn	-0.97414	54.58346	6	13	22
9100BUILTHR	Builth Road Rail Station	Builth Road	-3.42705	52.16933	6	11	16
9100MTHRNGH	Metheringham Rail Station	Metheringham	-0.39145	53.1389	6	13	22
9100ALNESS	Alness Rail Station	Alness	-4.24973	57.69438	6	8	9
9100FYSD	Ferryside Rail Station	Ferryside	-4.36949	51.76837	6	14	26
9100CMTHN	Carmarthen Rail Station	Carmarthen	-4.30599	51.85336	6	13	27
9100STRCROS	Starcross Rail Station	Starcross	-3.44773	50.62778	6	22	35
9100SHERBRN	Sherborne Rail Station	Sherborne	-2.51308	50.94401	6	9	19
9100CRMLNGT	Cramlington Rail Station	Cramlington	-1.5986	55.08777	6	13	34
9100PREES	Prees Rail Station	Prees	-2.68966	52.89932	6	13	32
9100BNDON	Brandon Rail Station	Brandon	0.62473	52.45403	6	15	40
9100THORNES	Thorne South Rail Station	Thorne	-0.9551	53.60335	5	12	35
9100HUNMNBY	Hunmanby Rail Station	Hunmanby	-0.31456	54.17393	5	9	12
9100IVYBDGE	Ivybridge Rail Station	Ivybridge	-3.90424	50.3934	5	14	23
9100THFORD	Thornford Rail Station	Thornford	-2.579	50.91056	5	13	26
9100FILEY	Filey Rail Station	Filey	-0.29385	54.20987	5	9	12
9100TORQUAY	Torquay Rail Station	Torquay	-3.5433	50.46112	5	10	20
9100DOVRCRT	Dovercourt Rail Station	Dovercourt	1.28063	51.93875	5	14	30
9100QUENBRO	Queenborough Rail Station	Queenborough	0.74968	51.41564	5	16	33
9100GLNEGLS	Gleneagles Rail Station	Auchterarder	-3.73116	56.27484	5	11	35
9100PERANWL	Perranwell Rail Station	Perranwell Station	-5.11213	50.21657	5	9	15
9100HARWICH	Harwich Town Rail Station	Harwich	1.2867	51.94416	5	12	29
9100CYNGHRD	Cynghordy Rail Station	Cynghordy	-3.74823	52.05151	5	11	15
9300MIL	North Greenwich Pier	North Greenwich	0.00878	51.5021	5	9	12
9100LLNWTMR	Llantwit Major Rail Station	Llantwit Major	-3.48164	51.40975	5	17	31
9100BXTD	Buxted Rail Station	Buxted	0.13145	50.99001	5	9	19
9100NBRWGE	Newbridge Rail Station	Newbridge	-3.14291	51.66581	5	5	14
9100SILEBY	Sileby Rail Station	Sileby	-1.10999	52.73161	5	14	31
9100WIGTON	Wigton Rail Station	Wigton	-3.16434	54.82912	5	10	21
9100SMINSTR	Southminster Rail Station	Southminster	0.83521	51.66063	5	9	21
9100SPTN	Shipton Rail Station	Shipton-under-Wychwood	-1.5927	51.86565	5	11	26
9100WTBY	Whitby Rail Station	Whitby	-0.6154	54.48462	5	7	10
9100ENTWISL	Entwistle Rail Station	Entwistle	-2.41455	53.65599	5	28	80
9100HEREFRD	Hereford Rail Station	Hereford	-2.70822	52.06117	5	12	20
9100IVRGRD	Invergordon Rail Station	Invergordon	-4.17485	57.689	5	8	9
9100CHAPLTN	Chapelton (Devon) Rail Station	Chapelton	-4.02476	51.01653	5	9	12
9100TYNDRML	Tyndrum Lower Rail Station	Tyndrum	-4.71481	56.43333	5	8	11
9100STCLMBR	St Columb Road Rail Station	St Columb Road	-4.94081	50.3987	5	6	9
9100GLOSTER	Gloucester Rail Station	Gloucester	-2.2385	51.86556	5	13	32
9100ALNMOTH	Alnmouth Rail Station	Lesbury	-1.63664	55.39277	5	11	23
9100CRSKEYS	Crosskeys Rail Station	Crosskeys	-3.12619	51.6209	5	7	29
9100PENMERE	Penmere Rail Station	Penmere	-5.08325	50.15032	5	5	10
9100KENNETT	Kennett Rail Station	Kennett	0.49048	52.27728	5	12	29
9100RCHE	Roche Rail Station	Roche	-4.83025	50.41853	5	8	11
9100PEMBROK	Pembroke Rail Station	Pembroke	-4.90607	51.67295	5	8	9
9100WCKHMMR	Wickham Market Rail Station	Campsey Ash	1.39869	52.15112	5	11	22
9100RAUCEBY	Rauceby Rail Station	South Rauceby	-0.4566	52.98522	5	11	22
9100WLNGBRO	Wellingborough Rail Station	Wellingborough	-0.67664	52.30379	5	16	44
9100WHTBDGE	Whitley Bridge Rail Station	Whitley Bridge	-1.15828	53.69914	5	12	31
9100CHBURY	Charlbury Rail Station	Charlbury	-1.4897	51.87244	5	18	35
9100MARLOW	Marlow Rail Station	Marlow	-0.76643	51.57099	5	16	81
9100DOVYJN	Dovey Junction Rail Station	Derwen Las	-3.92391	52.56437	5	9	13
9100DERBYRD	Derby Road (Ipswich) Rail Station	Copleston	1.18266	52.05057	5	10	25
9100GARSDLE	Garsdale Rail Station	Garsdale	-2.32635	54.32144	5	9	16
9100DULNGHM	Dullingham Rail Station	Dullingham	0.36667	52.20167	5	20	37
9100PERSHOR	Pershore Rail Station	Pershore	-2.07154	52.13056	5	11	26
9100STKEYNE	St Keyne Wishing Well Halt (Rail Station)	St Keyne	-4.46356	50.42303	5	9	15
9100PRYN	Penryn Rail Station	Penryn	-5.11166	50.1707	5	7	13
9100BNTHAM	Bentham Rail Station	High Bentham	-2.51068	54.11553	5	12	23
9100CAUSLND	Causeland Rail Station	Duloe	-4.46649	50.40568	5	7	14
9100HOPTONH	Hopton Heath Rail Station	Hopton Heath	-2.91207	52.39142	5	12	15
9100GOBOWEN	Gobowen Rail Station	Gobowen	-3.03718	52.89353	5	14	37
9100MERTHYR	Merthyr Tydfil Rail Station	Merthyr Tydfil	-3.37726	51.74462	5	11	26
9100EVESHAM	Evesham Rail Station	Evesham	-1.94731	52.0984	5	11	23
9100DENT	Dent Rail Station	Dent	-2.3636	54.28242	5	9	18
9100TUTBURY	Tutbury & Hatton Rail Station	Hatton	-1.68224	52.86415	5	21	53
9100RUSWARP	Ruswarp Rail Station	Ruswarp	-0.62777	54.4702	5	8	11
9100GLHM	Gillingham (Dorset) Rail Station	Gillingham	-2.27264	51.03402	5	10	19
9100HRLNGRD	Harling Road Rail Station	Harling Road	0.90915	52.45371	5	8	20
9100SEAMER	Seamer Rail Station	Seamer	-0.41703	54.24076	5	7	14
9100CROWLE	Crowle Rail Station	Ealand	-0.81736	53.58975	5	8	25
9100CWMBRAN	Cwmbran Rail Station	Cwmbran	-3.01622	51.65658	5	18	51
9100LSTWTHL	Lostwithiel Rail Station	Lostwithiel	-4.66601	50.40717	5	16	32
9100MRPTHRP	Morpeth Rail Station	Morpeth	-1.68308	55.16237	5	15	33
9100TAYNULT	Taynuilt Rail Station	Taynuilt	-5.23959	56.43079	5	6	8
